print meta info for videos/SampleVideo_720x480_10mb.mkv:
  duration time: 69.68 秒
  file size: 10.08 MB
  frame rate: 25.00 fps
  decoder: MPEG-4 part 2

帧类型与大小统计:
frame #296: size before decode=1860 bytes, size after decode=737280 bytes, type=P, timestamp=10.400 seconds
frame #297: size before decode=1888 bytes, size after decode=737280 bytes, type=P, timestamp=10.440 seconds
frame #298: size before decode=1877 bytes, size after decode=737280 bytes, type=P, timestamp=10.480 seconds
frame #299: size before decode=1847 bytes, size after decode=737280 bytes, type=P, timestamp=10.520 seconds
frame #300: size before decode=1592 bytes, size after decode=737280 bytes, type=P, timestamp=10.560 seconds
frame #301: size before decode=34138 bytes, size after decode=737280 bytes, type=I, timestamp=10.600 seconds
frame #302: size before decode=2027 bytes, size after decode=737280 bytes, type=P, timestamp=10.640 seconds
frame #303: size before decode=24220 bytes, size after decode=737280 bytes, type=P, timestamp=10.680 seconds
frame #304: size before decode=6547 bytes, size after decode=737280 bytes, type=P, timestamp=10.720 seconds
frame #305: size before decode=3626 bytes, size after decode=737280 bytes, type=P, timestamp=10.760 seconds
frame #306: size before decode=3553 bytes, size after decode=737280 bytes, type=P, timestamp=10.800 seconds
frame #307: size before decode=4091 bytes, size after decode=737280 bytes, type=P, timestamp=10.840 seconds
frame #308: size before decode=4421 bytes, size after decode=737280 bytes, type=P, timestamp=10.880 seconds
frame #309: size before decode=4408 bytes, size after decode=737280 bytes, type=P, timestamp=10.920 seconds
frame #310: size before decode=4358 bytes, size after decode=737280 bytes, type=P, timestamp=10.960 seconds
frame #311: size before decode=2250 bytes, size after decode=737280 bytes, type=P, timestamp=11.000 seconds
frame #312: size before decode=4008 bytes, size after decode=737280 bytes, type=P, timestamp=11.040 seconds
frame #313: size before decode=3542 bytes, size after decode=737280 bytes, type=P, timestamp=11.080 seconds
frame #314: size before decode=3996 bytes, size after decode=737280 bytes, type=P, timestamp=11.120 seconds
frame #315: size before decode=4159 bytes, size after decode=737280 bytes, type=P, timestamp=11.160 seconds
frame #316: size before decode=4029 bytes, size after decode=737280 bytes, type=P, timestamp=11.200 seconds
frame #317: size before decode=3849 bytes, size after decode=737280 bytes, type=P, timestamp=11.240 seconds
frame #318: size before decode=3593 bytes, size after decode=737280 bytes, type=P, timestamp=11.280 seconds
frame #319: size before decode=3206 bytes, size after decode=737280 bytes, type=P, timestamp=11.320 seconds
frame #320: size before decode=3448 bytes, size after decode=737280 bytes, type=P, timestamp=11.360 seconds
frame #321: size before decode=3606 bytes, size after decode=737280 bytes, type=P, timestamp=11.400 seconds
frame #322: size before decode=3671 bytes, size after decode=737280 bytes, type=P, timestamp=11.440 seconds
frame #323: size before decode=3937 bytes, size after decode=737280 bytes, type=P, timestamp=11.480 seconds
frame #324: size before decode=3407 bytes, size after decode=737280 bytes, type=P, timestamp=11.520 seconds
frame #325: size before decode=2619 bytes, size after decode=737280 bytes, type=P, timestamp=11.560 seconds
frame #326: size before decode=3236 bytes, size after decode=737280 bytes, type=P, timestamp=11.600 seconds
frame #327: size before decode=3743 bytes, size after decode=737280 bytes, type=P, timestamp=11.640 seconds
frame #328: size before decode=3897 bytes, size after decode=737280 bytes, type=P, timestamp=11.680 seconds
frame #329: size before decode=3744 bytes, size after decode=737280 bytes, type=P, timestamp=11.720 seconds
frame #330: size before decode=3210 bytes, size after decode=737280 bytes, type=P, timestamp=11.760 seconds
frame #331: size before decode=2643 bytes, size after decode=737280 bytes, type=P, timestamp=11.800 seconds
frame #332: size before decode=3254 bytes, size after decode=737280 bytes, type=P, timestamp=11.840 seconds
frame #333: size before decode=3499 bytes, size after decode=737280 bytes, type=P, timestamp=11.880 seconds
frame #334: size before decode=3540 bytes, size after decode=737280 bytes, type=P, timestamp=11.920 seconds
frame #335: size before decode=3534 bytes, size after decode=737280 bytes, type=P, timestamp=11.960 seconds
frame #336: size before decode=654 bytes, size after decode=737280 bytes, type=P, timestamp=12.000 seconds
frame #337: size before decode=3739 bytes, size after decode=737280 bytes, type=P, timestamp=12.040 seconds
frame #338: size before decode=3510 bytes, size after decode=737280 bytes, type=P, timestamp=12.080 seconds
frame #339: size before decode=3123 bytes, size after decode=737280 bytes, type=P, timestamp=12.120 seconds
frame #340: size before decode=2846 bytes, size after decode=737280 bytes, type=P, timestamp=12.160 seconds
frame #341: size before decode=2661 bytes, size after decode=737280 bytes, type=P, timestamp=12.200 seconds
frame #342: size before decode=3137 bytes, size after decode=737280 bytes, type=P, timestamp=12.240 seconds
frame #343: size before decode=2413 bytes, size after decode=737280 bytes, type=P, timestamp=12.280 seconds
frame #344: size before decode=2351 bytes, size after decode=737280 bytes, type=P, timestamp=12.320 seconds
frame #345: size before decode=2046 bytes, size after decode=737280 bytes, type=P, timestamp=12.360 seconds
frame #346: size before decode=2021 bytes, size after decode=737280 bytes, type=P, timestamp=12.400 seconds
frame #347: size before decode=2100 bytes, size after decode=737280 bytes, type=P, timestamp=12.440 seconds
frame #348: size before decode=2062 bytes, size after decode=737280 bytes, type=P, timestamp=12.480 seconds
frame #349: size before decode=2586 bytes, size after decode=737280 bytes, type=P, timestamp=12.520 seconds
frame #350: size before decode=3128 bytes, size after decode=737280 bytes, type=P, timestamp=12.560 seconds
frame #351: size before decode=3379 bytes, size after decode=737280 bytes, type=P, timestamp=12.600 seconds
frame #352: size before decode=3884 bytes, size after decode=737280 bytes, type=P, timestamp=12.640 seconds
frame #353: size before decode=4104 bytes, size after decode=737280 bytes, type=P, timestamp=12.680 seconds
frame #354: size before decode=4106 bytes, size after decode=737280 bytes, type=P, timestamp=12.720 seconds
frame #355: size before decode=4359 bytes, size after decode=737280 bytes, type=P, timestamp=12.760 seconds
frame #356: size before decode=4856 bytes, size after decode=737280 bytes, type=P, timestamp=12.800 seconds
frame #357: size before decode=4891 bytes, size after decode=737280 bytes, type=P, timestamp=12.840 seconds
frame #358: size before decode=4590 bytes, size after decode=737280 bytes, type=P, timestamp=12.880 seconds
frame #359: size before decode=4076 bytes, size after decode=737280 bytes, type=P, timestamp=12.920 seconds
frame #360: size before decode=4382 bytes, size after decode=737280 bytes, type=P, timestamp=12.960 seconds
frame #361: size before decode=820 bytes, size after decode=737280 bytes, type=P, timestamp=13.000 seconds
frame #362: size before decode=4909 bytes, size after decode=737280 bytes, type=P, timestamp=13.040 seconds
frame #363: size before decode=4898 bytes, size after decode=737280 bytes, type=P, timestamp=13.080 seconds
frame #364: size before decode=5020 bytes, size after decode=737280 bytes, type=P, timestamp=13.120 seconds
frame #365: size before decode=4445 bytes, size after decode=737280 bytes, type=P, timestamp=13.160 seconds
frame #366: size before decode=4385 bytes, size after decode=737280 bytes, type=P, timestamp=13.200 seconds
frame #367: size before decode=4045 bytes, size after decode=737280 bytes, type=P, timestamp=13.240 seconds
frame #368: size before decode=3887 bytes, size after decode=737280 bytes, type=P, timestamp=13.280 seconds
frame #369: size before decode=3618 bytes, size after decode=737280 bytes, type=P, timestamp=13.320 seconds
frame #370: size before decode=3682 bytes, size after decode=737280 bytes, type=P, timestamp=13.360 seconds
frame #371: size before decode=3698 bytes, size after decode=737280 bytes, type=P, timestamp=13.400 seconds
frame #372: size before decode=3456 bytes, size after decode=737280 bytes, type=P, timestamp=13.440 seconds
frame #373: size before decode=3319 bytes, size after decode=737280 bytes, type=P, timestamp=13.480 seconds
frame #374: size before decode=3265 bytes, size after decode=737280 bytes, type=P, timestamp=13.520 seconds
frame #375: size before decode=2794 bytes, size after decode=737280 bytes, type=P, timestamp=13.560 seconds
frame #376: size before decode=2928 bytes, size after decode=737280 bytes, type=P, timestamp=13.600 seconds
frame #377: size before decode=2710 bytes, size after decode=737280 bytes, type=P, timestamp=13.640 seconds
frame #378: size before decode=2679 bytes, size after decode=737280 bytes, type=P, timestamp=13.680 seconds
frame #379: size before decode=2370 bytes, size after decode=737280 bytes, type=P, timestamp=13.720 seconds
frame #380: size before decode=2120 bytes, size after decode=737280 bytes, type=P, timestamp=13.760 seconds
frame #381: size before decode=46423 bytes, size after decode=737280 bytes, type=P, timestamp=13.800 seconds
frame #382: size before decode=6339 bytes, size after decode=737280 bytes, type=P, timestamp=13.840 seconds
frame #383: size before decode=1878 bytes, size after decode=737280 bytes, type=P, timestamp=13.880 seconds
frame #384: size before decode=5832 bytes, size after decode=737280 bytes, type=P, timestamp=13.920 seconds
frame #385: size before decode=1597 bytes, size after decode=737280 bytes, type=P, timestamp=13.960 seconds
frame #386: size before decode=4863 bytes, size after decode=737280 bytes, type=P, timestamp=14.000 seconds
frame #387: size before decode=1589 bytes, size after decode=737280 bytes, type=P, timestamp=14.040 seconds
frame #388: size before decode=2576 bytes, size after decode=737280 bytes, type=P, timestamp=14.080 seconds
frame #389: size before decode=3106 bytes, size after decode=737280 bytes, type=P, timestamp=14.120 seconds
frame #390: size before decode=3600 bytes, size after decode=737280 bytes, type=P, timestamp=14.160 seconds
frame #391: size before decode=3573 bytes, size after decode=737280 bytes, type=P, timestamp=14.200 seconds
frame #392: size before decode=3834 bytes, size after decode=737280 bytes, type=P, timestamp=14.240 seconds
frame #393: size before decode=3611 bytes, size after decode=737280 bytes, type=P, timestamp=14.280 seconds
frame #394: size before decode=2938 bytes, size after decode=737280 bytes, type=P, timestamp=14.320 seconds
frame #395: size before decode=2962 bytes, size after decode=737280 bytes, type=P, timestamp=14.360 seconds
frame #396: size before decode=2757 bytes, size after decode=737280 bytes, type=P, timestamp=14.400 seconds
frame #397: size before decode=2839 bytes, size after decode=737280 bytes, type=P, timestamp=14.440 seconds
frame #398: size before decode=2863 bytes, size after decode=737280 bytes, type=P, timestamp=14.480 seconds
frame #399: size before decode=2851 bytes, size after decode=737280 bytes, type=P, timestamp=14.520 seconds
frame #400: size before decode=3948 bytes, size after decode=737280 bytes, type=P, timestamp=14.560 seconds
frame #401: size before decode=4317 bytes, size after decode=737280 bytes, type=P, timestamp=14.600 seconds
frame #402: size before decode=4329 bytes, size after decode=737280 bytes, type=P, timestamp=14.640 seconds
frame #403: size before decode=4432 bytes, size after decode=737280 bytes, type=P, timestamp=14.680 seconds
frame #404: size before decode=4665 bytes, size after decode=737280 bytes, type=P, timestamp=14.720 seconds
frame #405: size before decode=4347 bytes, size after decode=737280 bytes, type=P, timestamp=14.760 seconds
frame #406: size before decode=4455 bytes, size after decode=737280 bytes, type=P, timestamp=14.800 seconds
frame #407: size before decode=4880 bytes, size after decode=737280 bytes, type=P, timestamp=14.840 seconds
frame #408: size before decode=4424 bytes, size after decode=737280 bytes, type=P, timestamp=14.880 seconds
frame #409: size before decode=4696 bytes, size after decode=737280 bytes, type=P, timestamp=14.920 seconds
frame #410: size before decode=3849 bytes, size after decode=737280 bytes, type=P, timestamp=14.960 seconds
frame #411: size before decode=3712 bytes, size after decode=737280 bytes, type=P, timestamp=15.000 seconds
frame #412: size before decode=3960 bytes, size after decode=737280 bytes, type=P, timestamp=15.040 seconds
frame #413: size before decode=4167 bytes, size after decode=737280 bytes, type=P, timestamp=15.080 seconds
frame #414: size before decode=5650 bytes, size after decode=737280 bytes, type=P, timestamp=15.120 seconds
frame #415: size before decode=3541 bytes, size after decode=737280 bytes, type=P, timestamp=15.160 seconds
frame #416: size before decode=4032 bytes, size after decode=737280 bytes, type=P, timestamp=15.200 seconds
frame #417: size before decode=4187 bytes, size after decode=737280 bytes, type=P, timestamp=15.240 seconds
frame #418: size before decode=4563 bytes, size after decode=737280 bytes, type=P, timestamp=15.280 seconds
frame #419: size before decode=6788 bytes, size after decode=737280 bytes, type=P, timestamp=15.320 seconds
frame #420: size before decode=4539 bytes, size after decode=737280 bytes, type=P, timestamp=15.360 seconds
frame #421: size before decode=4453 bytes, size after decode=737280 bytes, type=P, timestamp=15.400 seconds
